episode,reward,steps,epsilon,loss
0,78.7939515709877,84,0.9580000000000046,
1,28.281888961791992,34,0.9410000000000065,
2,26.1883202791214,31,0.9255000000000082,
3,52.39924609661102,58,0.8965000000000114,
4,34.08642095327377,39,0.8770000000000135,
5,66.17765384912491,72,0.8410000000000175,
6,56.46599954366684,62,0.8100000000000209,
7,55.6998336315155,61,0.7795000000000243,
8,50.53758603334427,56,0.7515000000000274,
9,71.50925725698471,78,0.7125000000000317,
10,42.157438814640045,48,0.6885000000000343,
11,54.24830448627472,60,0.6585000000000376,
12,71.28035777807236,77,0.6200000000000419,
13,86.95440489053726,93,0.573500000000047,
14,20.8046612739563,26,0.5605000000000484,
15,32.409068286418915,38,0.5415000000000505,
16,42.89120131731033,49,0.5170000000000532,
17,67.73927855491638,74,0.48000000000005505,
18,48.962545692920685,55,0.452500000000055,
19,44.36891573667526,49,0.428000000000055,
20,121.04974365234375,126,0.36500000000005495,
21,36.7722527384758,43,0.34350000000005493,
22,126.56085503101349,133,0.27700000000005487,
23,71.58951395750046,78,0.23800000000005483,
24,120.90432506799698,127,0.17450000000005478,
25,73.27955120801926,80,0.13450000000005474,
26,278.8492096066475,285,0.05,
27,68.82341945171356,76,0.05,
28,215.17698788642883,222,0.05,
29,139.38631361722946,146,0.05,
30,84.43594551086426,91,0.05,
31,166.61891674995422,173,0.05,
32,61.49615532159805,69,0.05,
33,101.20339715480804,108,0.05,
34,96.14516460895538,103,0.05,
35,240.0387937426567,246,0.05,
36,143.8874716758728,151,0.05,
37,150.42090845108032,157,0.05,
38,42.69815570116043,50,0.05,
39,108.2689158320427,115,0.05,
40,114.31908941268921,121,0.05,
41,69.97532546520233,77,0.05,
42,114.50734341144562,121,0.05,
43,488.717212498188,498,0.05,
44,71.23100554943085,78,0.05,
45,100.04498827457428,107,0.05,
46,202.93257623910904,212,0.05,
47,172.31133538484573,179,0.05,
48,455.8625487089157,464,0.05,
49,366.30088353157043,373,0.05,
50,437.747735619545,446,0.05,
51,423.01681286096573,430,0.05,
52,181.88667356967926,188,0.05,
53,63.25283497571945,70,0.05,
54,331.27544486522675,338,0.05,
55,106.03927552700043,113,0.05,
56,127.5146415233612,134,0.05,
57,98.05954194068909,105,0.05,
58,113.63105320930481,121,0.05,
59,54.58553582429886,62,0.05,
60,396.17560505867004,404,0.05,
61,60.63049650192261,68,0.05,
62,54.81537336111069,62,0.05,
63,45.49317705631256,53,0.05,
64,365.8406223654747,372,0.05,
65,133.35707914829254,140,0.05,
66,458.64273822307587,467,0.05,
67,57.39928138256073,65,0.05,
68,498.0257093310356,500,0.05,
69,463.97574573755264,472,0.05,
70,150.40918731689453,157,0.05,
71,497.4072722196579,500,0.05,
72,409.66090041399,418,0.05,
73,497.1013188958168,500,0.05,
74,403.98025715351105,410,0.05,
75,68.29072815179825,76,0.05,
76,159.84882754087448,166,0.05,
77,130.07974642515182,137,0.05,
78,230.22434002161026,236,0.05,
79,65.60939049720764,73,0.05,
80,101.6798705458641,109,0.05,
81,97.1556247472763,104,0.05,
82,120.95358490943909,128,0.05,
83,496.3847042918205,500,0.05,
84,112.52382522821426,120,0.05,
85,64.48683398962021,72,0.05,
86,498.3180860877037,500,0.05,
87,138.22522550821304,145,0.05,
88,499.412427008152,500,0.05,
89,456.4847960472107,465,0.05,
90,499.68651151657104,500,0.05,
91,450.18855357170105,456,0.05,
92,497.88764333724976,500,0.05,
93,499.2223850488663,500,0.05,
94,499.1681344509125,500,0.05,
95,75.54643386602402,83,0.05,
96,499.306855738163,500,0.05,
97,244.78766506910324,252,0.05,
98,60.77459281682968,68,0.05,
99,251.69272023439407,260,0.05,
100,498.85756742954254,500,0.05,
101,250.7501055598259,257,0.05,
102,80.27280306816101,87,0.05,
103,498.79470121860504,500,0.05,
104,124.95838785171509,131,0.05,
105,499.8050481081009,500,0.05,
106,80.43281322717667,87,0.05,
107,499.1804876923561,500,0.05,
108,496.9406192302704,500,0.05,
109,497.5189810991287,500,0.05,
110,497.074864923954,500,0.05,
111,498.01897048950195,500,0.05,
112,110.88247764110565,118,0.05,
113,498.61416321992874,500,0.05,
114,499.67608094215393,500,0.05,
115,499.963380753994,500,0.05,
116,82.7723605632782,90,0.05,
117,499.07376301288605,500,0.05,
118,498.7117037177086,500,0.05,
119,498.58556109666824,500,0.05,
120,498.86151230335236,500,0.05,
121,499.76449996232986,500,0.05,
122,499.48060035705566,500,0.05,
123,77.36955636739731,85,0.05,
124,498.65665197372437,500,0.05,
125,499.96519058942795,500,0.05,
126,499.7427906990051,500,0.05,
127,499.27946412563324,500,0.05,
128,499.09216010570526,500,0.05,
129,499.3010835647583,500,0.05,
130,498.7818069458008,500,0.05,
131,499.554736495018,500,0.05,
132,499.7772114276886,500,0.05,
133,499.85133254528046,500,0.05,
134,102.80713307857513,110,0.05,
135,91.2167883515358,98,0.05,
136,58.26488035917282,65,0.05,
137,498.4842392206192,500,0.05,
138,499.05747044086456,500,0.05,
139,225.44650381803513,232,0.05,
140,499.6187489628792,500,0.05,
141,498.406126499176,500,0.05,
142,499.79756969213486,500,0.05,
143,499.144145488739,500,0.05,
144,499.7162633538246,500,0.05,
145,498.9137214422226,500,0.05,
146,499.00954616069794,500,0.05,
147,499.00671350955963,500,0.05,
148,499.07868283987045,500,0.05,
149,499.6587198972702,500,0.05,
150,499.1266164779663,500,0.05,
151,358.80286180973053,367,0.05,
152,498.5380228757858,500,0.05,
153,134.9193975329399,143,0.05,
154,499.82860976457596,500,0.05,
155,498.9467062950134,500,0.05,
156,497.4241415858269,500,0.05,
157,80.08498948812485,87,0.05,
158,64.11080533266068,71,0.05,
159,499.6904466152191,500,0.05,
160,499.0414907336235,500,0.05,
161,499.86888551712036,500,0.05,
162,110.74909496307373,118,0.05,
163,499.2390729188919,500,0.05,
164,95.32129746675491,103,0.05,
165,499.1203787922859,500,0.05,
166,499.34731924533844,500,0.05,
167,499.76670002937317,500,0.05,
168,499.2143131494522,500,0.05,
169,498.74016946554184,500,0.05,
170,499.82946199178696,500,0.05,
171,499.61146289110184,500,0.05,
172,499.52352064847946,500,0.05,
173,498.5090575814247,500,0.05,
174,499.57788169384,500,0.05,
175,499.0475373864174,500,0.05,
176,497.55267816782,500,0.05,
177,499.7541233301163,500,0.05,
178,498.6994739174843,500,0.05,
179,499.2117841243744,500,0.05,
180,79.70626723766327,87,0.05,
181,499.69094455242157,500,0.05,
182,498.645254611969,500,0.05,
183,499.1520060300827,500,0.05,
184,498.6927338838577,500,0.05,
185,499.33857226371765,500,0.05,
186,499.2338697910309,500,0.05,
187,499.32068890333176,500,0.05,
188,498.95321094989777,500,0.05,
189,80.6626728773117,88,0.05,
190,499.71239799261093,500,0.05,
191,498.9190323352814,500,0.05,
192,499.1465581059456,500,0.05,
