episode,reward,steps,epsilon,loss
170,499.87548929452896,500,0.05,
171,499.96060860157013,500,0.05,
172,499.8075092434883,500,0.05,
173,499.6508304476738,500,0.05,
174,498.84681326150894,500,0.05,
175,499.9233264327049,500,0.05,
176,110.56096082925797,117,0.05,
177,498.44924759864807,500,0.05,
178,499.4339987039566,500,0.05,
179,499.5587674975395,500,0.05,
180,499.7562232017517,500,0.05,
181,499.90061289072037,500,0.05,
182,499.82205283641815,500,0.05,
183,499.90189760923386,500,0.05,
184,499.2799550294876,500,0.05,
185,499.82600861787796,500,0.05,
186,499.897524535656,500,0.05,
187,499.64195853471756,500,0.05,
188,499.7903251647949,500,0.05,
189,499.31747937202454,500,0.05,
190,499.9019386768341,500,0.05,
191,499.7515569329262,500,0.05,
192,499.61227375268936,500,0.05,
193,499.8002538084984,500,0.05,
194,499.14344823360443,500,0.05,
195,499.1932455897331,500,0.05,
196,499.2374367713928,500,0.05,
197,499.92405968904495,500,0.05,
198,499.3023707270622,500,0.05,
199,499.72018724679947,500,0.05,
200,499.076971411705,500,0.05,
201,499.82973635196686,500,0.05,
202,61.066137611866,68,0.05,
203,499.7594994902611,500,0.05,
204,499.63300144672394,500,0.05,
205,499.915711581707,500,0.05,
206,499.84905511140823,500,0.05,
207,499.36516815423965,500,0.05,
208,499.7008982896805,500,0.05,
209,499.5190054178238,500,0.05,
210,499.4405765533447,500,0.05,
211,499.92524605989456,500,0.05,
212,499.74427330493927,500,0.05,
213,499.76570945978165,500,0.05,
214,499.9062108397484,500,0.05,
215,498.8684934973717,500,0.05,
216,499.8906493782997,500,0.05,
217,499.7033833861351,500,0.05,
218,499.7357284426689,500,0.05,
219,499.3217160105705,500,0.05,
220,499.9124083518982,500,0.05,
221,499.7760508656502,500,0.05,
222,499.65599435567856,500,0.05,
223,499.9760595560074,500,0.05,
224,499.860878944397,500,0.05,
225,499.8563227057457,500,0.05,
226,499.3155086636543,500,0.05,
227,499.8881439566612,500,0.05,
228,499.77201730012894,500,0.05,
229,498.888174533844,500,0.05,
230,499.98927092552185,500,0.05,
231,498.9086099267006,500,0.05,
232,499.7456588745117,500,0.05,
233,499.8237742781639,500,0.05,
234,499.9200441837311,500,0.05,
235,499.43585139513016,500,0.05,
236,499.1652194261551,500,0.05,
237,499.77497786283493,500,0.05,
238,499.85930079221725,500,0.05,
239,499.7577869296074,500,0.05,
240,499.26831793785095,500,0.05,
241,499.13012796640396,500,0.05,
242,499.8005985021591,500,0.05,
243,499.80127716064453,500,0.05,
244,484.26006430387497,490,0.05,
245,499.85869866609573,500,0.05,
246,499.8445792198181,500,0.05,
247,101.24187088012695,108,0.05,
248,498.95481503009796,500,0.05,
249,499.76898127794266,500,0.05,
250,499.7118476629257,500,0.05,
251,499.8213167190552,500,0.05,
252,499.43897128105164,500,0.05,
253,499.60512059926987,500,0.05,
254,499.71033602952957,500,0.05,
255,102.48917412757874,109,0.05,
256,499.5202129483223,500,0.05,
257,499.5612338781357,500,0.05,
258,499.6997426748276,500,0.05,
259,499.65640604496,500,0.05,
260,499.5915864109993,500,0.05,
261,499.53996074199677,500,0.05,
262,499.48342394828796,500,0.05,
263,499.0907067656517,500,0.05,
264,499.0873227119446,500,0.05,
265,498.9078316092491,500,0.05,
266,499.5492315888405,500,0.05,
267,499.35684794187546,500,0.05,
268,499.5579133629799,500,0.05,
269,499.51029175519943,500,0.05,
270,499.1852927803993,500,0.05,
271,499.6556108593941,500,0.05,
272,499.34603559970856,500,0.05,
273,499.7382028698921,500,0.05,
274,499.4925228357315,500,0.05,
275,431.3292353153229,435,0.05,
276,499.5620145201683,500,0.05,
277,499.6312900185585,500,0.05,
278,499.56857973337173,500,0.05,
279,468.3211636543274,472,0.05,
280,499.52451461553574,500,0.05,
281,460.42315888404846,464,0.05,
282,470.038535118103,476,0.05,
283,475.6326667666435,480,0.05,
284,499.6767771244049,500,0.05,
285,499.16277825832367,500,0.05,
286,445.7280225157738,449,0.05,
287,499.5007724761963,500,0.05,
288,499.7510169148445,500,0.05,
289,499.33929377794266,500,0.05,
290,499.68014138936996,500,0.05,
291,499.463833630085,500,0.05,
292,485.4474213719368,489,0.05,
293,498.77790480852127,500,0.05,
294,499.55185025930405,500,0.05,
295,499.7258457541466,500,0.05,
296,477.82913529872894,481,0.05,
297,487.6832666397095,491,0.05,
298,499.65263575315475,500,0.05,
299,496.6088352203369,500,0.05,
300,457.741971552372,461,0.05,
301,499.3826089501381,500,0.05,
302,499.63581252098083,500,0.05,
303,498.31202733516693,500,0.05,
304,499.2894724011421,500,0.05,
305,499.3168226480484,500,0.05,
306,79.00820410251617,86,0.05,
307,499.22340750694275,500,0.05,
308,499.59320336580276,500,0.05,
309,391.3914512991905,395,0.05,
310,499.4376413822174,500,0.05,
311,499.45707255601883,500,0.05,
312,423.9832193851471,428,0.05,
313,450.6323081254959,454,0.05,
314,74.99800431728363,82,0.05,
315,482.6189477443695,488,0.05,
316,499.04923993349075,500,0.05,
317,499.04762703180313,500,0.05,
318,355.32207477092743,362,0.05,
319,485.97639018297195,492,0.05,
320,277.0246222615242,283,0.05,
321,357.8864468932152,364,0.05,
322,246.90434157848358,253,0.05,
323,437.6488588452339,445,0.05,
324,92.11040824651718,99,0.05,
325,224.76267117261887,232,0.05,
