episode,reward,steps,epsilon,loss
310,16.362334847450256,21,0.05,
311,75.71101224422455,81,0.05,
312,25.518750607967377,30,0.05,
313,15.38217967748642,20,0.05,
314,21.469430029392242,26,0.05,
315,38.44288897514343,43,0.05,
316,60.971625208854675,66,0.05,
317,30.550676941871643,35,0.05,
318,28.46161526441574,33,0.05,
319,32.411388874053955,37,0.05,
320,24.493936777114868,29,0.05,
321,31.49525946378708,36,0.05,
322,47.2709795832634,52,0.05,
323,82.4222081899643,88,0.05,
324,43.35706454515457,48,0.05,
325,19.392403542995453,24,0.05,
326,48.14587277173996,53,0.05,
327,17.374925136566162,22,0.05,
328,33.58896619081497,38,0.05,
329,17.370732963085175,22,0.05,
330,48.185882449150085,53,0.05,
331,97.41737353801727,103,0.05,
332,26.394071578979492,31,0.05,
333,55.93695515394211,61,0.05,
334,20.08397513628006,25,0.05,
335,41.49980437755585,46,0.05,
336,31.324096858501434,36,0.05,
337,13.394245564937592,18,0.05,
338,19.277950823307037,24,0.05,
339,63.807808458805084,69,0.05,
340,43.38577300310135,48,0.05,
341,28.346938014030457,33,0.05,
342,37.40380531549454,42,0.05,
343,14.267282605171204,19,0.05,
344,61.9271434545517,67,0.05,
345,32.52360451221466,37,0.05,
346,13.445858478546143,18,0.05,
347,18.672714412212372,23,0.05,
348,37.431717336177826,42,0.05,
349,30.58236199617386,35,0.05,
350,23.345737397670746,28,0.05,
351,17.141583800315857,22,0.05,
352,18.363686621189117,23,0.05,
353,36.441398322582245,41,0.05,
354,27.557332396507263,32,0.05,
355,36.54020404815674,41,0.05,
356,25.52018564939499,30,0.05,
357,18.106442391872406,23,0.05,
358,21.66822624206543,26,0.05,
359,118.56872999668121,124,0.05,
360,18.14078551530838,23,0.05,
361,46.292749762535095,51,0.05,
362,17.183082699775696,22,0.05,
363,28.5765021443367,33,0.05,
364,36.19252598285675,41,0.05,
365,40.441408812999725,45,0.05,
366,33.43511897325516,38,0.05,
367,28.409360647201538,33,0.05,
368,17.59498029947281,22,0.05,
369,22.30072158575058,27,0.05,
370,16.176172137260437,21,0.05,
371,38.38979095220566,43,0.05,
372,95.7380074262619,102,0.05,
373,39.27453279495239,44,0.05,
374,24.76863992214203,29,0.05,
375,84.43821704387665,90,0.05,
376,43.364725172519684,48,0.05,
